scope,table,column,metric_name,metric_value
global,,,row_count_total,14771.0
global,,,completeness_global_pct,0.8426524719318801
global,,,referential_integrity_fk_valid_pct_among_non_null,1.0
table_column,pacientes,id_paciente,completeness_pct,1.0
table_column,pacientes,nombre,completeness_pct,1.0
table_column,pacientes,fecha_nacimiento,completeness_pct,0.9998
table_column,pacientes,edad,completeness_pct,1.0
table_column,pacientes,sexo,completeness_pct,0.7956
table_column,pacientes,email,completeness_pct,0.4994
table_column,pacientes,telefono,completeness_pct,0.6672
table_column,pacientes,ciudad,completeness_pct,0.8348
table,pacientes,,fecha_nacimiento_validity_pct,0.9998
table,pacientes,,sexo_validity_pct,0.7956
table,pacientes,,email_validity_pct,0.4994
table,pacientes,,telefono_validity_pct,0.6672
table,pacientes,,edad_validity_pct,1.0
table,pacientes,,edad_consistency_pct,1.0
table,pacientes,,edad_consistency_pair_count,4999.0
table,pacientes,,pk_uniqueness_pct,1.0
table_column,citas_medicas,id_cita,completeness_pct,1.0
table_column,citas_medicas,id_paciente,completeness_pct,1.0
table_column,citas_medicas,fecha_cita,completeness_pct,0.670248695118207
table_column,citas_medicas,especialidad,completeness_pct,0.8317470064476512
table_column,citas_medicas,medico,completeness_pct,0.7960290656022925
table_column,citas_medicas,costo,completeness_pct,0.8267321666154949
table_column,citas_medicas,estado_cita,completeness_pct,0.7453689489305086
table,citas_medicas,,fecha_cita_validity_pct,0.670248695118207
table,citas_medicas,,estado_cita_validity_pct,0.7453689489305086
table,citas_medicas,,costo_validity_pct,0.8267321666154949
table,citas_medicas,,pk_uniqueness_pct,1.0
table,citas_medicas,,fk_valid_pct_among_non_null,1.0
table,citas_medicas,,fk_valid_pair_count,9771.0
table,citas_medicas,,fk_non_null_count,9771.0
