scope,table,column,metric_name,metric_value
global,,,row_count_total,14971.0
global,,,completeness_global_pct,0.8276885808737148
global,,,referential_integrity_fk_valid_pct_among_non_null,0.9809256098785263
table_column,pacientes,id_paciente,completeness_pct,1.0
table_column,pacientes,nombre,completeness_pct,1.0
table_column,pacientes,fecha_nacimiento,completeness_pct,1.0
table_column,pacientes,edad,completeness_pct,0.6712574850299401
table_column,pacientes,sexo,completeness_pct,0.795808383233533
table_column,pacientes,email,completeness_pct,0.4998003992015968
table_column,pacientes,telefono,completeness_pct,0.667065868263473
table_column,pacientes,ciudad,completeness_pct,0.8349301397205589
table,pacientes,,fecha_nacimiento_validity_pct,0.9998003992015968
table,pacientes,,sexo_validity_pct,0.795808383233533
table,pacientes,,email_validity_pct,0.4998003992015968
table,pacientes,,telefono_validity_pct,0.667065868263473
table,pacientes,,edad_validity_pct,0.6712574850299401
table,pacientes,,edad_consistency_pct,0.5199286139202856
table,pacientes,,edad_consistency_pair_count,3362.0
table,pacientes,,pk_uniqueness_pct,0.998003992015968
table_column,citas_medicas,id_cita,completeness_pct,1.0
table_column,citas_medicas,id_paciente,completeness_pct,1.0
table_column,citas_medicas,fecha_cita,completeness_pct,0.6709165746411003
table_column,citas_medicas,especialidad,completeness_pct,0.8320449754040758
table_column,citas_medicas,medico,completeness_pct,0.7959040257002309
table_column,citas_medicas,costo,completeness_pct,0.8269250075293645
table_column,citas_medicas,estado_cita,completeness_pct,0.7448047384800723
table,citas_medicas,,fecha_cita_validity_pct,0.6709165746411003
table,citas_medicas,,estado_cita_validity_pct,0.7448047384800723
table,citas_medicas,,costo_validity_pct,0.8269250075293645
table,citas_medicas,,pk_uniqueness_pct,1.0
table,citas_medicas,,fk_valid_pct_among_non_null,0.9809256098785263
table,citas_medicas,,fk_valid_pair_count,9771.0
table,citas_medicas,,fk_non_null_count,9961.0
